variant_id,posture_case,actuator_profile,contact_none_rate,contact_persistence,contact_x_progression_score,heel_region_contact_ratio,center_region_contact_ratio,toe_region_contact_ratio,rollover_path_score,bridge_like_pattern_detected,fall_or_large_tilt,result_label,source,valid_for,method
stl_fitted_rocker_capsules,medium_forward_base_pitch,peak_upper_bound,0.85,0.15000000000000002,0.029720887850938116,0.0,0.6939353976108804,0.3060646023891195,0.3060646023891195,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_rocker_capsules,neutral_stance,ankle_boost_hypothesis,0.85,0.15000000000000002,0.020689275187928697,0.018624186890800483,0.9813758131091996,0.0,0.0,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_rocker_capsules,ankle_toe_down_bias,ankle_boost_hypothesis,0.83,0.17000000000000004,0.04168497822155852,0.0,0.006112940194681338,0.9938870598053187,0.9938870598053187,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_rocker_capsules,mild_forward_lean,ankle_boost_hypothesis,0.85,0.15000000000000002,0.03918213847727361,0.0,0.5642560977716156,0.43574390222838444,0.43574390222838444,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_rocker_capsules,medium_forward_base_pitch,ankle_boost_hypothesis,0.85,0.15000000000000002,0.029720887850938116,0.0,0.6939353976108804,0.3060646023891195,0.3060646023891195,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,neutral_stance,peak_upper_bound,0.85,0.15000000000000002,0.010955167541078097,0.0,1.0,0.0,0.0,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,ankle_toe_down_bias,peak_upper_bound,0.8,0.19999999999999996,0.07304776697414708,0.0,0.0,1.0,1.0,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,mild_forward_lean,peak_upper_bound,0.83,0.17000000000000004,0.04516736559596104,0.12101376863868976,0.2641435169427404,0.6148427144185699,0.540438280426737,True,False,bridge_like_pattern,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,medium_forward_base_pitch,peak_upper_bound,0.84,0.16000000000000003,0.03421467186687045,0.26088772731596505,0.2843405827541421,0.45477168992989275,0.3361273372964423,True,False,bridge_like_pattern,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,neutral_stance,ankle_boost_hypothesis,0.85,0.15000000000000002,0.010955167541078097,0.0,1.0,0.0,0.0,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,ankle_toe_down_bias,ankle_boost_hypothesis,0.8,0.19999999999999996,0.07555569286261252,0.0,0.0,1.0,1.0,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,mild_forward_lean,ankle_boost_hypothesis,0.83,0.17000000000000004,0.054380019504590794,0.0,0.28269526633688097,0.7173047336631191,0.7173047336631191,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
stl_fitted_continuous_bottom,medium_forward_base_pitch,ankle_boost_hypothesis,0.84,0.16000000000000003,0.042983302202452604,0.0,0.443732491178257,0.556267508821743,0.556267508821743,False,False,insufficient_contact_persistence,stl_derived_prototype,contact_diagnostic_only,stl_derived_collision_contact_probe
