variant,scenario,contact_index,geom1_id,geom1_name,geom2_id,geom2_name,body1_name,body2_name,contact_pos_x,contact_pos_y,contact_pos_z,contact_dist,normal_force,force_x,force_y,force_z,classified_side,classified_region,is_floor_contact
current_box_baseline,neutral,0,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,0.0396141538479832,-0.18641694485317664,-0.0020346297523454165,-0.004069259504690833,4.920615012556666,4.920615012556666,-0.2081237043065075,4.33450758530066,right,center,True
current_box_baseline,neutral,1,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,0.03879115344708989,-0.10642119609796254,-0.0020613291567616425,-0.004122658313523285,4.721212583728963,4.721212583728963,-0.16224857743001597,2.780214207729389,right,center,True
current_box_baseline,neutral,2,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.10310348987039508,0.1053166063634044,-8.099584192195267e-05,-0.00016199168384390533,6.450395492313351,6.450395492313351,-1.2997925929623662,-0.5119427612719711,left,center,True
current_box_baseline,neutral,3,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,0.03682986433433499,0.10648232741280406,-0.0021605075303085114,-0.004321015060617023,5.860503285493209,5.860503285493209,0.777233154819698,0.7580487210145694,left,center,True
current_box_baseline,neutral,4,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.10377155094407448,0.18531379785368823,-0.00010860050047860337,-0.00021720100095720674,7.373625431495391,7.373625431495391,-1.339942440156743,0.4800923950088043,left,center,True
current_box_baseline,neutral,5,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,0.036161803260655594,0.1864795189030879,-0.002188112188865162,-0.004376224377730324,7.520372872438344,7.520372872438344,0.7602033159198305,2.768074628700393,left,center,True
current_box_baseline,forward_pitch,0,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,-0.02151129484977489,-0.18641700083814572,-0.002751725715266544,-0.005503451430533088,9.453649034864549,9.453649034864549,0.14294740471095646,6.275302114361429,right,center,True
current_box_baseline,forward_pitch,1,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,-0.022333889762381806,-0.10642125376139569,-0.0027209554276763775,-0.005441910855352755,4.272413459269949,4.272413459269949,0.19665226779401557,2.807264708862657,right,center,True
current_box_baseline,forward_pitch,2,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.024303025519755134,0.10648245824940875,-0.002683413486766175,-0.00536682697353235,5.899189423377369,5.899189423377369,0.014443773089034773,3.200309846229329,left,center,True
current_box_baseline,forward_pitch,3,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.02497165070235116,0.18647965495767627,-0.0026643138535469048,-0.0053286277070938096,7.57813598461268,7.57813598461268,-0.03415165739248982,5.695661708274718,left,center,True
current_box_baseline,backward_pitch,0,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,-0.0392102370434183,-0.18785258752723533,-0.004724815760893966,-0.009449631521787932,10.224637543942375,10.224637543942375,0.34514730096828794,-1.0943145664417675,right,center,True
current_box_baseline,backward_pitch,1,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,-0.04001884839822183,-0.10785684845439805,-0.004808299093687327,-0.009616598187374654,16.94388188343301,16.94388188343301,0.4437068926163139,-9.337479119850249,right,center,True
current_box_baseline,backward_pitch,2,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.041935837643121594,0.1053162812733302,-0.005040629487960035,-0.01008125897592007,11.640570728306146,11.640570728306146,-0.9447763839677559,-8.133438675214045,left,center,True
current_box_baseline,backward_pitch,3,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.04258834788456504,0.18531348335827483,-0.005114604087219393,-0.010229208174438786,16.766202265602097,16.766202265602097,-1.0258595039194232,-2.7331977083134817,left,center,True
current_box_baseline,left_support_roll,0,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,-0.10031680937684957,-0.1494735206068339,-0.007283219036977987,-0.014566438073955974,51.135406813119985,51.135406813119985,11.527231517796784,1.919666859557708,right,center,True
current_box_baseline,left_support_roll,1,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,0.03961406523449594,-0.14767701302884345,-0.00929088503423342,-0.01858177006846684,37.81243037667317,37.81243037667317,-1.958486032480078,3.4504856587512522,right,center,True
current_box_baseline,left_support_roll,2,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,-0.10114142289776422,-0.06977762332727491,-0.0038233068506965187,-0.007646613701393037,0.0,0.0,0.0,0.0,right,center,True
current_box_baseline,left_support_roll,3,0,floor,7,R_foot_collision,world,R_link_ankle_pitch,0.038789451713581294,-0.06798111574928449,-0.005830972847951952,-0.011661945695903904,0.0,0.0,0.0,0.0,right,center,True
current_box_baseline,right_support_roll,0,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.10310410158630512,0.06722854480578142,-0.003819112731128147,-0.007638225462256294,0.0,0.0,0.0,0.0,left,center,True
current_box_baseline,right_support_roll,1,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,0.03682930001507351,0.06802412427991414,-0.005941032237590224,-0.011882064475180448,0.0,0.0,0.0,0.0,left,center,True
current_box_baseline,right_support_roll,2,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,-0.10377030911058929,0.14691643783338665,-0.007333222588386729,-0.014666445176773457,51.05122662121818,51.05122662121818,-10.230676339253492,1.4495137747800175,left,center,True
current_box_baseline,right_support_roll,3,0,floor,13,L_foot_collision,world,L_link_ankle_pitch,0.036163092490789334,0.14771201730751937,-0.009455142094848806,-0.01891028418969761,37.86905737837803,37.86905737837803,0.9937513209043232,3.4048598489390045,left,center,True
simple_toe_center_heel,neutral,0,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.07103236947159072,-0.1803736436432809,-0.0003501706429299735,-0.000700341285859947,1.7936552885493373,1.7936552885493373,0.8354970050249895,0.5542042903195077,right,heel,True
simple_toe_center_heel,neutral,1,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.03744809141340869,-0.1800053407010951,-0.0008299154327637351,-0.0016598308655274702,2.0132997769761314,2.0132997769761314,0.20772555613162996,1.0169848545371418,right,heel,True
simple_toe_center_heel,neutral,2,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.07175284691416736,-0.11477761186935648,-0.0003697139860199955,-0.000739427972039991,2.5044139547980038,2.5044139547980038,0.8839604723734653,-0.7366285565290558,right,heel,True
simple_toe_center_heel,neutral,3,0,floor,8,R_foot_contact_simple_toe_center_heel_heel,world,R_link_ankle_pitch,-0.038168568855985345,-0.11440930892717069,-0.0008494587758537571,-0.0016989175517075142,2.647101752028104,2.647101752028104,0.22400241952459732,-0.4649997967600039,right,heel,True
simple_toe_center_heel,neutral,4,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.05141518167349189,-0.1825586550813364,-0.0006293067699760565,-0.001258613539952113,2.1824198455588864,2.1824198455588864,0.5351397820399082,0.9352622821743254,right,center,True
simple_toe_center_heel,neutral,5,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.009434834100764362,-0.18209827640360418,-0.0012289877572682585,-0.002457975514536517,1.8595958200764835,1.8595958200764835,-0.448889380691456,1.0889870395631764,right,center,True
simple_toe_center_heel,neutral,6,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.052188376977720496,-0.11216291366541752,-0.0006502801137799824,-0.0013005602275599649,2.884779941037013,2.884779941037013,0.5526076354372551,-0.6773426365914413,right,center,True
simple_toe_center_heel,neutral,7,0,floor,9,R_foot_contact_simple_toe_center_heel_center,world,R_link_ankle_pitch,-0.010208029404992967,-0.11170253498768529,-0.0012499611010721844,-0.002499922202144369,2.2435776565048373,2.2435776565048373,-0.43142152729416566,-0.20523962015271846,right,center,True
simple_toe_center_heel,neutral,8,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,-0.02205529730340859,-0.17983653518592663,-0.001049798461437549,-0.002099596922875098,1.9235213684107708,1.9235213684107708,-0.1530851368698622,1.0447601981356667,right,toe,True
simple_toe_center_heel,neutral,9,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,0.011528980754773432,-0.17946823224374084,-0.0015295432512713106,-0.003059086502542621,1.8866553095632836,1.8866553095632836,-0.7812943617585929,1.1053609478046906,right,toe,True
simple_toe_center_heel,neutral,10,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,-0.022775774745985244,-0.1142405034120022,-0.001069341804527571,-0.002138683609055142,2.4119942477004126,2.4119942477004126,-0.13680827347691826,-0.29189535739912553,right,toe,True
simple_toe_center_heel,neutral,11,0,floor,10,R_foot_contact_simple_toe_center_heel_toe,world,R_link_ankle_pitch,0.01080850331219678,-0.11387220046981641,-0.0015490865943613326,-0.003098173188722665,1.8990324200744808,1.8990324200744808,-0.9240316036620211,0.08578705575187634,right,toe,True
simple_toe_center_heel,neutral,12,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.07385266250673196,0.11274666842606063,-0.0004754206947565707,-0.0009508413895131414,1.5793997059689837,1.5793997059689837,-0.8010197195376353,-0.7504858083179761,left,heel,True
simple_toe_center_heel,neutral,13,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.040267621710600186,0.11301299817265123,-0.000958665764117103,-0.001917331528234206,1.3421263720444951,1.3421263720444951,-0.28000322032357833,-0.3611029093051649,left,heel,True
simple_toe_center_heel,neutral,14,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.07437443297815424,0.17834457042973273,-0.0005028446431744734,-0.0010056892863489469,3.5169636445793797,3.5169636445793797,-0.8368826039866075,0.3518718861966651,left,heel,True
simple_toe_center_heel,neutral,15,0,floor,17,L_foot_contact_simple_toe_center_heel_heel,world,L_link_ankle_pitch,-0.040789392182022474,0.1786109001763233,-0.0009860897125350057,-0.0019721794250700114,3.280940564444564,3.280940564444564,-0.2890349267541227,0.745073863486147,left,heel,True
simple_toe_center_heel,neutral,16,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.05424229954539981,0.11050210420086835,-0.0007563103366975358,-0.0015126206733950716,1.3695370955504875,1.3695370955504875,-0.5079426575530698,-0.5654069484403813,left,center,True
simple_toe_center_heel,neutral,17,0,floor,18,L_foot_contact_simple_toe_center_heel_center,world,L_link_ankle_pitch,-0.012260998550235082,0.1108350163841066,-0.0013603666733982027,-0.0027207333467964053,1.0745082453820907,1.0745082453820907,0.1768669389875459,-0.0739044768286315,left,center,True
