variant,status,can_classify_center_toe_heel,neutral_center_first_left,neutral_center_first_right,forward_pitch_toe_handoff_candidate_left,forward_pitch_toe_handoff_candidate_right,toe_heel_bridge_contact_detected_left,toe_heel_bridge_contact_detected_right,left_right_symmetry_score,left_right_symmetry,contact_model_sufficient_for_rollover_analysis,recommendation_to_mechanical_team,walking_success_claimed,source,confidence,valid_for
current_box_baseline,generated,False,True,True,False,False,False,False,0.35441514692430676,False,False,Not sufficient: add or repair named center/toe/heel patches before rollover analysis.,False,assumption/prototype,low,simulation_prototype_only
simple_toe_center_heel,generated,True,False,True,True,True,True,True,0.9679133165115738,True,False,Not sufficient: toe/heel bridge contact appears; adjust patch spacing or height.,False,assumption/prototype,low,simulation_prototype_only
duck_like_multi_patch,generated,True,False,False,True,True,True,True,0.966223548043194,True,False,Not sufficient: toe/heel bridge contact appears; adjust patch spacing or height.,False,assumption/prototype,low,simulation_prototype_only
