setting,reward_mean,reward_std,len_mean,len_std,xvel_mean,xvel_std
BASE,2917.4186096151925,0.8768029865293547,1000.0,0.0,0.9277966730807279,0.00034989842949558923
DR,1756.9260430228737,1284.6945832253398,652.625,448.56519523364716,0.8209452168419087,0.20506342058581647
