side,role,path,min_x,min_y,min_z,max_x,max_y,max_z,length_x,width_y,height_z,bottom_shape,flat_bottom_candidate,rocker_like_candidate,continuous_bottom_candidate,toe_contact_area_candidate,heel_contact_area_candidate
left,ankle_pitch_visual_candidate,private_assets/sedon/mjcf_source/L_link_ankle_pitch.STL,-0.07308340817689896,-0.05444999784231186,-0.09236171096563339,0.12618429958820343,0.019499830901622772,0.05249857157468796,0.1992677077651024,0.07394982874393463,0.14486028254032135,flat,True,False,True,True,True
right,ankle_pitch_visual_candidate,private_assets/sedon/mjcf_source/R_link_ankle_pitch.STL,-0.07308340817689896,-0.019499830901622772,-0.09236171096563339,0.12618429958820343,0.05444999784231186,0.05249857157468796,0.1992677077651024,0.07394982874393463,0.14486028254032135,flat,True,False,True,True,True
left,ankle_pitch_visual_candidate,private_assets/sedon/original_urdf_package/urdf/meshes/L_link_ankle_pitch.STL,-0.07308340817689896,-0.05444999784231186,-0.09236171096563339,0.12618429958820343,0.019499830901622772,0.05249857157468796,0.1992677077651024,0.07394982874393463,0.14486028254032135,flat,True,False,True,True,True
right,ankle_pitch_visual_candidate,private_assets/sedon/original_urdf_package/urdf/meshes/R_link_ankle_pitch.STL,-0.07308340817689896,-0.019499830901622772,-0.09236171096563339,0.12618429958820343,0.05444999784231186,0.05249857157468796,0.1992677077651024,0.07394982874393463,0.14486028254032135,flat,True,False,True,True,True
left,ankle_pitch_visual_candidate,private_assets/sedon_v5_22/mjcf_source/L_link_ankle_pitch.STL,-0.07308342307806015,-0.052949998527765274,-0.0923616960644722,0.12618429958820343,0.020999830216169357,0.05249856784939766,0.19926772266626358,0.07394982874393463,0.14486026391386986,flat,True,False,True,True,True
right,ankle_pitch_visual_candidate,private_assets/sedon_v5_22/mjcf_source/R_link_ankle_pitch.STL,-0.07308342307806015,-0.020999830216169357,-0.0923616960644722,0.12618429958820343,0.052949998527765274,0.05249858275055885,0.19926772266626358,0.07394982874393463,0.14486027881503105,flat,True,False,True,True,True
left,ankle_pitch_visual_candidate,private_assets/SEEDON_URDF_5_22/meshes/L_link_ankle_pitch.STL,-0.07308342307806015,-0.052949998527765274,-0.0923616960644722,0.12618429958820343,0.020999830216169357,0.05249856784939766,0.19926772266626358,0.07394982874393463,0.14486026391386986,flat,True,False,True,True,True
right,ankle_pitch_visual_candidate,private_assets/SEEDON_URDF_5_22/meshes/R_link_ankle_pitch.STL,-0.07308342307806015,-0.020999830216169357,-0.0923616960644722,0.12618429958820343,0.052949998527765274,0.05249858275055885,0.19926772266626358,0.07394982874393463,0.14486027881503105,flat,True,False,True,True,True
